"Polyglot","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_LEVEL_CREATORS","","Level Creators","Créateurs de niveaux","Creadores de Niveles","Levelgestalter","Level Creators","Criadores de Nível","","Создатели уровней","","","","","Nivådesign","Level Makers","","","レベルクリエーター","关卡设计","譜師","레벨 제작자","","Pályatervezők","","","","יוצרי השלבים","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_3D_GRAPHICS","","3D Graphics","Graphismes 3D","Gráficos 3D","3D-Grafik","Grafica 3D","Gráficos 3D","","3D графика","","","","","3D graphics","3D Graphics","","","3Dグラフィック","3D图像","3D圖形","3D 그래픽","","3D Grafika","","","","גרפיקה תלת ממדית","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_EXTRA_MUSIC_ARTISTS","","Extra Music Artists","Musiciens supplémentaires","Artistas Musicales Adicionales","Musikkünstler (Extra)","Altri Artisti Musicali","Artistas de Música Extra","","Доп. музыкальные исполнители","","","","","Extra musikartister","Extra Muziekartiesten","","","エキストラ音楽アーティスト","其他音乐艺术家","音樂藝術家","기타 음악 아티스트","","További zenei előadók","","","","אומני המוזיקה הנוספת","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_2D_GRAPHICS","","2D Graphics","Graphismes 2D","Gráficos 2D","2D-Grafik","Grafica 2D","Gráficos 2D","","2D графика","","","","","2D graphics","2D Graphics","","","2Dグラフィック","2D图像","2D圖形","2D 그래픽","","2D Grafika","","","","גרפיקה דו ממדית","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_THANK_YOU_NOTE","","Thanks to everyone who supported us and helped us make this game a reality!","Merci à toutes et tous de nous avoir soutenus et aidés à produire ce jeu !","¡Gracias a todos los que nos han apoyado y ayudado a que este juego se convierta en una realidad!","Danke an alle, die uns unterstützt und geholfen haben, dieses Spiel Wirklichkeit werden zu lassen!","Grazie a tutti coloro ci hanno supportato e aiutato a rendere questo gioco una realtà!","Obrigado a todos que nos apoiaram e nos ajudaram a tornar este jogo uma realidade!","","Спасибо всем кто поддерживал нас и помог сделать игру реальной!","","","","","Tack till alla som har stött oss och hjälpt oss att realisera det här spelet!","Bedankt aan iedereen die ons heeft gesteund en ons hielpen om van dit spel een realiteit te maken!","","","このゲームの実現をサポートし、手を貸してくださった皆さんに感謝いたします！","感谢所有帮助我们完成这款游戏的人！","感謝所有支持我們並幫助我們開發這款遊戲的人！","이 게임을 현실로 만들 수 있게 도와주고 응원해주신 모든 분들께 감사드립니다.","","Köszönet mindenkinek, aki támogatott minket és segített nekünk a játék valóra váltásában!","","","","תודה לכול מי שתמך בנו ועזר לנו להפוך את המשחק הזה למציאות!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_SPECIAL_THANKS","","Special thanks to","Remerciements","Agradecimientos especiales a","Besonderen Dank an","Ringraziamenti speciali a","Agradecimentos especiais a","","Особая благодарность","","","","","Ett särskilt tack till","Speciale dank aan","","","特別な感謝：","特别鸣谢","特別感謝","특별히 감사한 분들","","Külön köszönet","","","","תודות מיוחדות ל","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_VFX","","VFX","Effets visuels","VFX","Visuelle Effekte","Effetti Visivi","VFX","","VFX","","","","","VFX","VFX","","","VFX","视觉效果","視覺效果","VFX","","VFX","","","","VFX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_UI_UX","","UI/UX","Interface, expérience utilisateur","UI/UX","Benutzeroberfläche/Benutzererlebnis","","","","UI/UX","","","","","UI/UX","","","","UI/UX","交互界面","UI/UX","UI/UX","","UI/UX","","","","ממשק המשתמש / חוויית המשתמש","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_ENGINEERING_MANAGER","","Engineering Manager","Responsable ingénierie","Gerente de Ingeniería","Engineering Manager","","","","Инженер-менеджер","","","","","Ingenjörs Chef","","","","エンジニアリングマネージャー","技术经理","工程管理員","엔지니어링 매니저","","Műszaki menedzser","","","","מנהל הנדסה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_RELEASE_MANAGER","","Release Manager","Responsable publication","Gerente de Lanzamiento","Release Manager","","","","Руков. выпусков","","","","","Publicerings Hanterare","","","","リリースマネージャー","发行管理员","發行管理員","릴리스 매니저","","Kiadási menedzser","","","","מנהל גרסת השחרור","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CREDITS_OFFICE_MANAGER","","Office Manager","Responsable administratif","Gerente de Oficina","Büromanager","","","","Офис-менеджер","","","","","Kontors Hanterare","","","","オフィスマネージャー","办公管理员","辦公管理員","오피스 매니저","","Irodavezető","","","","מנהל המשרד","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_PLAY","","Play","Jouer","Jugar","Spielen","Gioca","Jogar","","Играть","","","","","Spela","Speel","","","プレイ","开始","開始","플레이","","Játék","","","","שחק","","","Spila","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_CONTINUE","","Continue","Continuer","Continuar","Fortfahren","Continua","Continuar","","Далее","","","","","Fortsätt","Verder gaan","","","コンティニュー","继续","繼續","계속","","Folytatás","","","","המשך","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_SKIP","","Skip","Passer","Omitir","Überspringen","Ignora","Pular","","Пропуск","","","","","Hoppa över","Overslaan","","","スキップ","跳过","跳過","건너뛰기","","Kihagyás","","","","דלג","","","Sleppa","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_CANCEL","","Cancel","Annuler","Cancelar","Abbrechen","Annulla","Cancelar","","Отмена","","","","","Annulera","Annuleren","","","キャンセル","取消","取消","취소","","Mégse","","","","ביטול","","","Hætta við","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_RETRY","","Retry","Réessayer","Volver a Intentar","Erneut probieren","Riprova","Tentar novamente","","Повтор","","","","","Försök igen","Opnieuw","","","リトライ","重试","重試","재시도","","Újra","","","","נסה שוב","","","Reyna aftur","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_OK","","Ok","OK","Aceptar","Ok","Ok","Ok","","Ок","","","","","Ok","Ok","","","OK","确认","確認","확인","","Ok","","","","אחלה","","","Í lagi","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_APPLY","","Apply","Appliquer","Aplicar","Anwenden","Applica","Aplicar","","Принять","","","","","Tillämpa","Toepassen","","","適用","应用","套用","적용","","Alkalmaz","","","","אישור","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_PLAY_TUTORIAL","","Play Tutorial","Didacticiel","Jugar Tutorial","Tutorial spielen","Gioca Tutorial","Jogar Tutorial","","Обучение","","","","","Spela tutorial","Speel tutorial","","","チュートリアル","进入教程","遊玩教學","튜토리얼 플레이","","Bemutató indítása","","","","התחל את ההדרכה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_CAMPAIGN","","Campaign","Campagne","Campaña","Kampagne","Campagna","Campanha","","Кампания","","","","","Kampanj","Campagne","","","キャンペーン","闯关模式","闖關模式","캠페인","","Kampány","","","","קמפיין","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_CAMPAIGN_HINT","","Play missions, clear objectives and progress through campaign!","Jouez aux missions, terminez des objectifs et avancez dans la campagne !","¡Juega las misiones, cumple los objetivos y avanza en la campaña!","Spiele Missionen, erledige Ziele und schreite in der Kampagne voran.","Gioca le missioni, completa gli obiettivi e continua nella campagna!","Faça missões, objetivos claros e progresso através da campanha!","","Играйте в миссии, завершайте задания и продвигайтесь в рамках кампании!","","","","","Spela uppdrag, klara mål och gör framsteg genom kampanjen!","Speel missies, behaal doelstellingen en maak vooruitgang in de campagne!","","","ミッションをプレイし、目標をクリアして、キャンペーンを進んでいこう！","进行任务，达成目标并完成闯关！","進行任務，達成目標並完成闖關！","미션을 플레이하고, 목표를 달성하며 캠페인을 진행하세요!","","Teljesítsd az adott feladatokat a haladáshoz!","","","","תשחק משימות, תעבור מטרות ותתקדם בקמפיין!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_SOLO","","Solo","Solo","Individual","Solo","Singolo","Solo","","Соло","","","","","Solo","Alleen","","","ソロ","单人模式","單人模式","솔로","","Egyéni","","","","יחיד","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_SOLO_HINT","","Play any level you like and compete on the online leaderboards!","Jouez au niveau de votre choix et tentez d'obtenir la meilleure place sur le classement en ligne !","¡Juega el nivel que desees y compite en la tabla de posiciones en línea!","Spiele einen beliebigen Level, der dir gefällt, und tritt in den Online-Bestenlisten an.","Gioca i livelli che ti piacciono e competi nella classifica online!","Jogue qualquer nível que você gosta e compita nos placares online!","","Играйте в любой уровень который вам нравятся, и состязайтесь на онлайн-таблицах рекордов!","","","","","Spela vilken level som helst och tävla på online topplistorna!","Speel elk liedje dat je wil en strijd om jouw plaats in de rangschikkingen.","","","好きなステージをプレイして、オンラインランキングで競おう！","游玩任何你喜欢的关卡，并与排行榜上的其他人比拼分数！","遊玩任何你喜歡的歌曲，並與排行榜上的其他人比拚分數！","원하는 레벨을 플레이하고 온라인 순위를 놓고 경쟁하세요!","","Válassz egy pályát és kerülj fel a világranglistára!","","","","שחקו באיזה שלב שתרצו ותתחרו בלוח התוצאות המקוון!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_PARTY","","Party","Groupe","Grupo","Gruppe","Party","Grupo","","Вечеринка","","","","","Party","Groep","","","パーティー","聚会模式","派對模式","파티","","Parti","","","","קבוצה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_PARTY_HINT","","Play with your friends locally!","Jouez en local avec vos amis !","¡Juega con tus amigos en modo local!","Spiele lokal mit deinen Freunden.","Gioca con i tuoi amici in locale!","Jogue com seus amigos localmente!","","Играйте со своими друзьями локально!","","","","","Spela lokalt med dina vänner!","Speel met je vrienden lokaal","","","ローカルで友だちと一緒にプレイしよう！","与你的朋友一起进行本地游戏！","與你的朋友在同一臺電腦上進行遊戲","지역에서 친구와 플레이하세요!","","Játssz az ugyanabban a szobában lévő barátaiddal!","","","","שחקו עם חבריכם בצורה קרובה!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LABEL_HOW_TO_PLAY","","How To Play","Guide de jeu","Cómo Jugar","So spielst du","","","","","","","","","","","","","プレイの方法","","","플레이 방법","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_CREDITS","","Credits","Crédits","Créditos","Mitwirkende","Riconoscimenti","Créditos","","Титры","","","","","Lista över medverkande","Credits","","","クレジット","鸣谢","感謝","크레딧","","Készítők","","","","תודות","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MENU_FLOOR_ADJUST","","Floor Adjust","Réglage du sol","Ajuste del Suelo","Bodenanpassung","Regolazione pavimento","Ajustar Piso","","Настройка пола","","","","","Justera golvet","Vloer aanpassen","","","床調整","地面调整","地面調整","바닥 조절","","Padló beállítása","","","","הגדרת הרצפה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_SETTINGS","","Settings","Paramètres","Ajustes","Einstellungen","Impostazioni","Configurações","","Настройки игры","","","","","Inställningar","Instellingen","","","Settings","设置","設定","설정","","Beállítások","","","","הגדרות","","","Stillingar","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_QUIT","","Quit","Quitter","Salir","Verlassen","Esci","Sair","","Выход","","","","","Lämna","Verlaten","","","終了","退出","退出","나가기","","Kilépés","","","","צא","","","Hætta","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_BASICS","","Basics","Bases","Aspectos Básicos","Grundlagen","Basi","Básico","","Основы","","","","","Grunderna","Basis","","","基礎","基础规则","基礎規則","기본","","Alapok","","","","יסודות","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_SCORE_SYSTEM","","Score System","Score","Sistema de Puntuación","Punktesystem","Sistema del Punteggio","Sistema de Pontuação","","Система очков","","","","","Pöangsystem","Score systeem","","","スコアシステム","分数系统","分數系統","점수 체계","","Pontrendszer","","","","מערכת הניקוד","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_LOCAL_PLAYER","","Local Player","Joueur local","Jugador Local","Lokaler Spieler","Giocatore Locale","Reprodutor Local","","Локальный игрок","","","","","Lokal spelare","Lokale speler","","","ローカルプレイヤー","本地玩家","本地玩家","로컬 플레이어","","Helyi játékos","","","","שחקן מקומי","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_GUEST_PLAYER","","Guest Player","Invité","Jugador Invitado","Gastspieler","Giocatore Ospite","Jogador Convidado","","Гостевой игрок","","","","","Gästspelare","Gast speler","","","ゲストプレイヤー","游客","遊客","게스트 플레이어","","Vendégjátékos","","","","שחקן אורח","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTTON_HIGHSCORES_ALL_TIME","","All Time","Tout","Desde el comienzo","Alle Zeiten","Di Sempre","Todos os Tempos","","Всё время","","","","","Alltid","Alles","","","今まで","所有","所有時間","역대","","Összes","","","","כל הזמן","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
